slug,name,price,stock,sku,compare_at_price,category,collections,color,color_family,color_hex,fabric,description,story,length,width,blouse,zari,weight,weave,care,featured,new_arrival
kanchipuram-ruby-zari-silk-saree,Kanchipuram Ruby Zari Silk Saree,18500,4,SKS-KAN-001,,kanchipuram,"kanchipuram, new-arrivals",Ruby Red,red,#9B1B30,Pure Mulberry Silk,"Deep ruby meets antique gold in a timeless silk composition, framed by a traditional zari border drawn from South Indian architectural motifs.","The body carries an even scatter of lotus buttas, each one lifted in gold against a saturated ruby ground. Along the selvedge, a contrast border steps inward in the manner of a temple cornice, and the pallu closes the drape with a sequence of broad and fine zari courses. A saree built for the occasions that ask for weight and presence.",6.3 metres including blouse piece,48 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 750 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,yes,yes
temple-border-crimson-silk,Temple Border Crimson Silk,12500,7,SKS-KAN-002,,kanchipuram,kanchipuram,Crimson,red,#B01E2E,Pure Mulberry Silk,"A crimson drape edged with the stepped temple border that gives the weave its name — restrained on the body, decisive at the selvedge.","The temple border, or thazhampoo rekku, is among the oldest devices in South Indian weaving: a row of stepped spires running the length of the saree. Here it is worked in gold against a darkened crimson edge, while the body is left comparatively quiet so the border can do the speaking.",6.3 metres including blouse piece,47 inches,0.8 metre matching blouse piece attached,Half-fine gold zari,Approx. 680 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,no
peacock-motif-heritage-silk,Peacock Motif Heritage Silk,24900,3,SKS-KAN-003,,kanchipuram,"kanchipuram, new-arrivals",Peacock Teal,green,#0E5B60,Korvai Silk,"Peacock plumes in fine zari open across a deep teal ground, met at the border by a contrast weave joined thread by thread.","Korvai is the technique of joining a contrast border to the body by interlocking the warp by hand — slow, exacting, and visible in the crispness of the seam. The plume motif is set at a generous interval so the teal is allowed to hold its depth rather than disappear under ornament.",6.3 metres including blouse piece,48 inches,0.8 metre contrast blouse piece attached,Fine gold zari,Approx. 820 g,Korvai — hand-interlocked contrast border,Dry clean only. Store folded in cotton muslin.,yes,yes
antique-gold-bridal-kanjivaram,Antique Gold Bridal Kanjivaram,32000,2,SKS-BRD-004,36500,bridal,"bridal, kanchipuram",Antique Gold,gold,#C9A24B,Korvai Silk,"An antique gold body against a wine border — the pairing South Indian brides have returned to for generations, cut with a contemporary restraint.","Mango buttas run the length of a warm gold ground, echoing in the wine border and gathering into a densely worked pallu. This is a saree with real weight to it, designed to hold its pleats through a long day and to photograph with depth rather than glare.",6.5 metres including blouse piece,48 inches,0.9 metre contrast blouse piece attached,"Fine gold zari, antique finish",Approx. 980 g,Korvai — hand-interlocked contrast border,"Dry clean only. Store folded in cotton muslin, refold every few months.",yes,no
emerald-temple-weave,Emerald Temple Weave,15900,5,SKS-KAN-005,,kanchipuram,"kanchipuram, festive",Emerald,green,#14603F,Pure Mulberry Silk,"A saturated emerald ground with stepped temple spires in gold — a clear, architectural saree that reads well in daylight.","Green silk is difficult to get right; too yellow and it flattens, too blue and it turns cold. This ground sits deliberately in the middle, so the gold reads warm against it. The temple motif repeats on both the body and the border, at two different scales.",6.3 metres including blouse piece,47 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 720 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,no
lotus-zari-kanchipuram,Lotus Zari Kanchipuram,18500,6,SKS-KAN-006,,kanchipuram,"kanchipuram, bridal",Ivory Gold,gold,#F2E6CE,Pure Mulberry Silk,"Eight-petal lotus buttas worked in deep gold across an ivory ground, bordered in warm antique brass.","An unusually quiet Kanchipuram. The ivory ground is left largely open, with the lotus set at a wide interval and the ornament concentrated at the border and pallu. It suits daytime ceremonies, and it suits being photographed without a flash.",6.3 metres including blouse piece,48 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 700 g,Traditional Kanchipuram handloom technique,Dry clean only. Keep away from prolonged direct sunlight.,yes,no
maroon-bridal-heritage-silk,Maroon Bridal Heritage Silk,32000,2,SKS-BRD-007,,bridal,bridal,Maroon,maroon,#6E2038,Korvai Silk,Deep maroon carried by a heavy zari pallu — a bridal weave built for ceremony rather than for subtlety.,"The pallu runs nearly a metre, layered with broad zari courses and a closing row of mango motifs. Maroon holds gold better than almost any other ground, which is why it remains the default for South Indian bridal silk. Weighted, structured, and unhurried.",6.5 metres including blouse piece,48 inches,0.9 metre contrast blouse piece attached,Fine gold zari,"Approx. 1,020 g",Korvai — hand-interlocked contrast border,"Dry clean only. Store folded in cotton muslin, refold every few months.",no,no
royal-purple-zari-silk,Royal Purple Zari Silk,15900,5,SKS-FST-008,,festive,"festive, new-arrivals",Royal Purple,purple,#4A2A6B,Pure Mulberry Silk,"Faceted diamond buttas in gold across a deep violet ground, with a narrow, precisely drawn border.","Purple sits slightly outside the traditional Kanchipuram palette, which is exactly what makes it useful — it reads as festive without reading as bridal. The diamond butta keeps the surface geometric and the border deliberately narrow.",6.3 metres including blouse piece,47 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 690 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,yes
indigo-kolam-silk,Indigo Kolam Silk,8900,11,SKS-EVD-009,,everyday,everyday,Indigo,blue,#24356B,Silk Cotton,Kolam lattice-work in silver thread on indigo — a lighter weave for days that call for silk without ceremony.,"Kolam are the looped rice-flour patterns drawn at South Indian thresholds each morning. Rendered small and in silver rather than gold, the motif keeps this saree firmly in the register of everyday wear. Silk cotton means it drapes softly and sits comfortably through a full day.",6.3 metres including blouse piece,46 inches,0.8 metre matching blouse piece attached,Silver-tone zari,Approx. 480 g,Silk-cotton handloom,Dry clean recommended. Gentle hand wash acceptable for the first wash.,no,no
saffron-festive-silk,Saffron Festive Silk,12500,8,SKS-FST-010,,festive,festive,Saffron,saffron,#D98324,Pure Mulberry Silk,Warm saffron against a deep red border — a festival saree with genuine brightness to it.,"Saffron is the colour of the season that runs from Navaratri into Deepavali, and it is unforgiving in cheaper silk. On mulberry silk it holds its warmth under artificial light instead of turning orange. The contrast border keeps the whole thing anchored.",6.3 metres including blouse piece,47 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 690 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,no
